00001John Doe                    Manager             075000.00Marketing           2015-03-15
00002Jane Smith                  Developer           065000.00IT                  2018-06-22
00003Michael Johnson             Accountant          055000.00Finance             2017-11-30
00004Emily Brown                 HR Specialist       060000.00Human Resources     2019-02-14
00005David Wilson                Sales Rep           070000.00Sales               2016-09-08
00006Sarah Davis                 Project Manager     080000.00IT                  2014-07-19
00007Robert Anderson             Analyst             062000.00Finance             2020-01-05
00008Lisa Taylor                 Marketing Coord     058000.00Marketing           2021-04-11
00009James Miller                Tech Support        052000.00IT                  2019-08-27
00010Jennifer White              Admin Assistant     048000.00Admin               2022-12-03
